ID,Bureaux,"Region, Pays",City delimitor position,Region delimitor pos,Region,Country,Address
230,"Thales near  Milano,  Lombardia,  Italy","Milano,  Lombardia,  Italy",7,19,"Milano,  Lombardia",Italy,
205,"Thales near  Rome,  Latium,  Italy","Rome,  Latium,  Italy",5,14,"Rome,  Latium",Italy,
417,"Thales near  Torino,  Piemonte,  Italy","Torino,  Piemonte,  Italy",7,18,"Torino,  Piemonte",Italy,
432,"Thales near  Vanzago,  Lombardia,  Italy","Vanzago,  Lombardia,  Italy",8,20,"Vanzago,  Lombardia",Italy,
434,"Thales near  Vergiate,  Lombardia,  Italy","Vergiate,  Lombardia,  Italy",9,21,"Vergiate,  Lombardia",Italy,
418,"Thales near  Vimodrone (MI),  Lombardia,  Italy","Vimodrone (MI),  Lombardia,  Italy",15,27,"Vimodrone (MI),  Lombardia",Italy,
208,"Thales near  Tokyo,  Tokyo,  Japan","Tokyo,  Tokyo,  Japan",6,14,"Tokyo,  Tokyo",Japan,
136,"Thales near  Safat,  Kuwait,  Kuwait","Safat,  Kuwait,  Kuwait",6,15,"Safat,  Kuwait",Kuwait,
210,"Thales near  Beirut,  Lebanon,  Lebanon","Beirut,  Lebanon,  Lebanon",7,17,"Beirut,  Lebanon",Lebanon,
214,"Thales near  Tripoli,  Lybia,  Libya","Tripoli,  Lybia,  Libya",8,16,"Tripoli,  Lybia",Libya,
216,"Thales near  Kuala Lumpur,  Kuala Lumpur,  Malaysia","Kuala Lumpur,  Kuala Lumpur,  Malaysia",13,28,"Kuala Lumpur,  Kuala Lumpur",Malaysia,
220,"Thales near  Rabat,  Rabat-Sale-Zemmour-Zaer,  Morocco","Rabat,  Rabat-Sale-Zemmour-Zaer,  Morocco",6,32,"Rabat,  Rabat-Sale-Zemmour-Zaer",Morocco,
425,"Thales near  Delft,  Zuid-Holland,  Netherlands","Delft,  Zuid-Holland,  Netherlands",6,21,"Delft,  Zuid-Holland",Netherlands,
424,"Thales near  Eindhoven,  Noord-Brabant,  Netherlands","Eindhoven,  Noord-Brabant,  Netherlands",10,26,"Eindhoven,  Noord-Brabant",Netherlands,
430,"Thales near  Hengelo,  Overijssel,  Netherlands","Hengelo,  Overijssel,  Netherlands",8,21,"Hengelo,  Overijssel",Netherlands,
