name,description,timestamp,begin,_end,altitudemode,tessellate,extrude,visibility,draworder,icon,id,bureaux,the_geom,cartodb_id,created_at,updated_at,cartodb_georef_status
,"<div class=""googft-info-window"">
<b>ID:</b> 535<br>
<b>Bureaux:</b> Thales near  Abu Dhabi,  Abu Dhabi,  United Arab Emirates
</div>",,,,,,,-1,,,535,"Thales near  Abu Dhabi,  Abu Dhabi,  United Arab Emirates",0101000020E61000003465A71FD43B4B40D8ADAFBF36683840,2,2013-11-07 10:54:44.207973+00,2013-11-07 10:58:06.950124+00,true
,"<div class=""googft-info-window"">
<b>ID:</b> 237<br>
<b>Bureaux:</b> Thales near  Addlestone,  Surrey,  United Kingdom
</div>",,,,,,,-1,,,237,"Thales near  Addlestone,  Surrey,  United Kingdom",0101000020E6100000E2B034F0A31AE0BF49CF3EA07DAE4940,3,2013-11-07 10:54:44.207973+00,2013-11-07 10:58:06.950124+00,true
,"<div class=""googft-info-window"">
<b>ID:</b> 78<br>
<b>Bureaux:</b> Thales near  Aix,  PACA,  France
</div>",,,,,,,-1,,,78,"Thales near  Aix,  PACA,  France",0101000020E61000002B195B632B130140B871304047A64640,4,2013-11-07 10:54:44.207973+00,2013-11-07 10:58:06.950124+00,true
,"<div class=""googft-info-window"">
<b>ID:</b> 169<br>
<b>Bureaux:</b> Thales near  Algiers,  Algiers,  Algeria
</div>",,,,,,,-1,,,169,"Thales near  Algiers,  Algiers,  Algeria",0101000020E6100000F26D0BE0F78256C02C29779FE3F13D40,5,2013-11-07 10:54:44.207973+00,2013-11-07 10:58:06.950124+00,true
,"<div class=""googft-info-window"">
<b>ID:</b> 544<br>
<b>Bureaux:</b> Thales near  Amberley ,  Queensland,  Australia
</div>",,,,,,,-1,,,544,"Thales near  Amberley ,  Queensland,  Australia",0101000020E6100000B2DAFCBFEA156340737F9AFFFCA33BC0,6,2013-11-07 10:54:44.207973+00,2013-11-07 10:58:06.950124+00,true
,"<div class=""googft-info-window"">
<b>ID:</b> 445<br>
<b>Bureaux:</b> Thales near  Antequera,  Malaga,  Spain
</div>",,,,,,,-1,,,445,"Thales near  Antequera,  Malaga,  Spain",0101000020E61000005019FF3EE33212C0F5E3E59FCF5A4240,7,2013-11-07 10:54:44.207973+00,2013-11-07 10:58:06.950124+00,true
,"<div class=""googft-info-window"">
<b>ID:</b> 592<br>
<b>Bureaux:</b> Thales near  Antwerpen,  Vlanderen,  Belgium
</div>",,,,,,,-1,,,592,"Thales near  Antwerpen,  Vlanderen,  Belgium",0101000020E61000006FBD01C177C61140C3B3A95F8E994940,8,2013-11-07 10:54:44.207973+00,2013-11-07 10:58:06.950124+00,true
,"<div class=""googft-info-window"">
<b>ID:</b> 648<br>
<b>Bureaux:</b> Thales near  Arlington,  Virginia,  United States
</div>",,,,,,,-1,,,648,"Thales near  Arlington,  Virginia,  United States",0101000020E6100000566133C0854553C0E4DE5740FC714340,10,2013-11-07 10:54:44.207973+00,2013-11-07 10:58:06.950124+00,true
,"<div class=""googft-info-window"">
<b>ID:</b> 399<br>
<b>Bureaux:</b> Thales near  Arnstadt,  Thüringen,  Germany
</div>",,,,,,,-1,,,399,"Thales near  Arnstadt,  Thüringen,  Germany",0101000020E6100000648918C0A5E5254073ECEA9FF16A4940,11,2013-11-07 10:54:44.207973+00,2013-11-07 10:58:06.950124+00,true
,"<div class=""googft-info-window"">
<b>ID:</b> 250<br>
<b>Bureaux:</b> Thales near  Aubagne,  PACA,  France
</div>",,,,,,,-1,,,250,"Thales near  Aubagne,  PACA,  France",0101000020E6100000D6F0E31E010A15401D5C959FAF204640,12,2013-11-07 10:54:44.207973+00,2013-11-07 10:58:06.950124+00,true
,"<div class=""googft-info-window"">
<b>ID:</b> 640<br>
<b>Bureaux:</b> Thales near  Auckland,  Auckland,  New Zealand
</div>",,,,,,,-1,,,640,"Thales near  Auckland,  Auckland,  New Zealand",0101000020E610000091F3FE3F0ED86540C9E30E400F7242C0,13,2013-11-07 10:54:44.207973+00,2013-11-07 10:58:06.950124+00,true
,"<div class=""googft-info-window"">
<b>ID:</b> 112<br>
<b>Bureaux:</b> Thales near  Aylesbury,  Thames Valley,  United Kingdom
</div>",,,,,,,-1,,,112,"Thales near  Aylesbury,  Thames Valley,  United Kingdom",0101000020E61000009413ED2AA4FCE9BF6B84D95FD1E84940,14,2013-11-07 10:54:44.207973+00,2013-11-07 10:58:06.950124+00,true
,"<div class=""googft-info-window"">
<b>ID:</b> 122<br>
<b>Bureaux:</b> Thales near  Bad Hersfeld,  Hessen,  Germany
</div>",,,,,,,-1,,,122,"Thales near  Bad Hersfeld,  Hessen,  Germany",0101000020E61000004212AC600A6D234065315640466F4940,15,2013-11-07 10:54:44.207973+00,2013-11-07 10:58:06.950124+00,true
,"<div class=""googft-info-window"">
<b>ID:</b> 41<br>
<b>Bureaux:</b> Thales near  Bagneux,  Région Parisienne,  France
</div>",,,,,,,-1,,,41,"Thales near  Bagneux,  Région Parisienne,  France",0101000020E61000007A53910A630BFC3F901C9F7F71974740,16,2013-11-07 10:54:44.207973+00,2013-11-07 10:58:06.950124+00,true
,"<div class=""googft-info-window"">
<b>ID:</b> 674<br>
<b>Bureaux:</b> Thales near  Bangalore,  Karnataka,  India
</div>",,,,,,,-1,,,674,"Thales near  Bangalore,  Karnataka,  India",0101000020E6100000A165DD3F16205340E877503F5E1A2840,17,2013-11-07 10:54:44.207973+00,2013-11-07 10:58:06.950124+00,true
